block,raintreat,comp,br,brc,tubeid,tubepres,germ,seed,green,full,outoftube,grazed
1,D,A,1D,1DA,1,Y,N,0,,,,
1,D,A,1D,1DA,2,Y,Y,105,Y,E,,
1,D,A,1D,1DA,3,Y,Y,103,Y,E,,
1,D,A,1D,1DA,4,Y,Y,10,Y,E,,
1,D,A,1D,1DA,5,Y,Y,51,N,R,,
1,D,A,1D,1DA,6,Y,Y,21,Y,R,,
1,D,A,1D,1DA,6,Y,Y,107,Y,E,,
1,D,A,1D,1DA,7,Y,Y,84,Y,E,,
1,D,A,1D,1DA,7,Y,Y,132,Y,R,,
1,D,A,1D,1DA,8,N,,,,,,
1,D,A,1D,1DA,9,N, ,,,,,
1,D,A,1D,1DA,10,Y,Y,0,,,,Y
1,D,B,1D,1DB,11,Y,Y,0,,,,Y
1,D,B,1D,1DB,12,N,,,,,,
1,D,B,1D,1DB,13,Y,Y,47,N,R,,
1,D,B,1D,1DB,14,Y,N,0,,,,
1,D,B,1D,1DB,15,Y,Y,0,,,,Y
1,D,B,1D,1DB,16,Y,Y,6,N,R,,
1,D,B,1D,1DB,17,Y,Y,39,N,R,,
1,D,B,1D,1DB,18,Y,Y,18,N,R,,
1,D,B,1D,1DB,19,Y,Y,11,,,,
1,D,B,1D,1DB,20,Y,Y,0,,,,Y
1,W,A,1W,1WA,21,Y,N,0,,,,
1,W,A,1W,1WA,22,Y,Y,112,Y,E,,
1,W,A,1W,1WA,23,Y,Y,37,N,R,,
1,W,A,1W,1WA,24,Y,Y,88,Y,E,,
1,W,A,1W,1WA,25,Y,Y,59,Y,E,,
1,W,A,1W,1WA,26,Y,Y,147,Y,E,,
1,W,A,1W,1WA,27,Y,Y,48,Y,E,,
1,W,A,1W,1WA,28,Y,Y,16,Y,E,,
1,W,A,1W,1WA,29,Y,Y,14,Y,E,,
1,W,A,1W,1WA,29,Y,Y,24,Y,R,,
1,W,A,1W,1WA,30,Y,Y,14,N,R,,
1,W,B,1W,1WB,31,Y,Y,21,N,R,,
1,W,B,1W,1WB,32,Y,Y,4,N,R,,
1,W,B,1W,1WB,33,Y,Y,7,N,R,,
1,W,B,1W,1WB,34,Y,N,0,,,,
1,W,B,1W,1WB,35,Y,Y,8,N,R,,
1,W,B,1W,1WB,36,N,,,,,,
1,W,B,1W,1WB,37,Y,Y,12,N,R,,
1,W,B,1W,1WB,38,Y,Y,19,N,R,,
1,W,B,1W,1WB,39,Y,Y,17,N,R,,
1,W,B,1W,1WB,40,Y,N,0,,,,
1,C,B,1C,1CB,41,Y,Y,14,N,R,,
1,C,B,1C,1CB,42,Y,Y,9,N,R,,
1,C,B,1C,1CB,43,Y,N,0,,,,
1,C,B,1C,1CB,44,Y,Y,0,,,,
1,C,B,1C,1CB,45,Y,N,0,,,,
1,C,B,1C,1CB,46,Y,Y,34,N,R,,
1,C,B,1C,1CB,47,Y,Y,77,Y,E,,
1,C,B,1C,1CB,48,Y,Y,51,Y,E,,
1,C,B,1C,1CB,49,Y,Y,5,N,R,,
1,C,B,1C,1CB,50,Y,Y,50,N,R,,
1,C,A,1C,1CA,51,Y,Y,84,Y,E,,
1,C,A,1C,1CA,52,Y,Y,23,Y,E,,
1,C,A,1C,1CA,53,Y,Y,45,Y,R,,
1,C,A,1C,1CA,53,Y,Y,55,Y,E,,
1,C,A,1C,1CA,54,Y,Y,0,,,,Y
1,C,A,1C,1CA,55,Y,Y,100,Y,E,,
1,C,A,1C,1CA,56,Y,Y,182,Y,E,,
1,C,A,1C,1CA,57,Y,Y,11,Y,E,,
1,C,A,1C,1CA,57,Y,Y,48,Y,R,,
1,C,A,1C,1CA,58,Y,N,0,,,,
1,C,A,1C,1CA,59,Y,Y,44,N,R,,
1,C,A,1C,1CA,60,Y,Y,136,Y,E,,
2,D,A,2D,2DA,61,Y,N,0,,,,
2,D,A,2D,2DA,62,Y,Y,21,N,R,,
2,D,A,2D,2DA,63,Y,Y,80,N,R,,
2,D,A,2D,2DA,64,Y,Y,107,Y,E,,
2,D,A,2D,2DA,65,Y,N,0,,,,
2,D,A,2D,2DA,66,Y,N,0,,,,
2,D,A,2D,2DA,67,Y,Y,0,,,,Y
2,D,A,2D,2DA,68,Y,N,0,,,,
2,D,A,2D,2DA,69,Y,N,0,,,,
2,D,A,2D,2DA,70,Y,Y,0,,,,Y
2,D,B,2D,2DB,71,Y,Y,0,,,,Y
2,D,B,2D,2DB,72,Y,N,0,,,,
2,D,B,2D,2DB,73,Y,N,0,,,,
2,D,B,2D,2DB,74,Y,N,0,,,,
2,D,B,2D,2DB,75,Y,N,0,,,,
2,D,B,2D,2DB,76,Y,Y,24,N,R,,
2,D,B,2D,2DB,77,Y,Y,24,N,R,Y,
2,D,B,2D,2DB,78,Y,Y,0,,,,Y
2,D,B,2D,2DB,79,N,,,,,,
2,D,B,2D,2DB,80,Y,Y,1,N,R,,
2,W,B,2W,2WB,81,Y,Y,7,N,R,,
2,W,B,2W,2WB,82,Y,Y,7,N,R,,
2,W,B,2W,2WB,83,Y,Y,15,N,R,,
2,W,B,2W,2WB,84,Y,N,0,,,,
2,W,B,2W,2WB,85,Y,Y,0,,,,
2,W,B,2W,2WB,86,N,,,,,,
2,W,B,2W,2WB,87,Y,Y,0,,,,
2,W,B,2W,2WB,88,Y,N,0,,,,
2,W,B,2W,2WB,89,Y,Y,8,N,R,,
2,W,B,2W,2WB,90,Y,N,0,,,,
2,W,A,2W,2WA,91,N,,,,,,
2,W,A,2W,2WA,92,Y,Y,72,Y,E,,
2,W,A,2W,2WA,93,Y,Y,148,Y,E,,
2,W,A,2W,2WA,94,Y,Y,93,Y,R,,
2,W,A,2W,2WA,95,Y,N,0,,,,
2,W,A,2W,2WA,96,Y,Y,25,N,R,,
2,W,A,2W,2WA,97,Y,N,0,,,,
2,W,A,2W,2WA,98,Y,Y,32,N,R,,
2,W,A,2W,2WA,99,Y,Y,70,N,R,,
2,W,A,2W,2WA,100,Y,Y,0,,,,Y
2,C,A,2C,2CA,101,Y,Y,9,Y,E,,
2,C,A,2C,2CA,101,Y,Y,27,Y,R,,
2,C,A,2C,2CA,102,Y,Y,3,Y,E,,
2,C,A,2C,2CA,102,Y,Y,24,Y,R,,
2,C,A,2C,2CA,103,Y,Y,21,Y,R,,
2,C,A,2C,2CA,103,Y,Y,57,Y,E,,
2,C,A,2C,2CA,104,Y,Y,24,Y,R,,
2,C,A,2C,2CA,105,Y,Y,28,Y,E,,
2,C,A,2C,2CA,105,Y,Y,149,Y,R,,
2,C,A,2C,2CA,106,N,,,,,,
