block,raintreat,br,par,slope
1,D,1D,1085,7
1,D,1D,906,
1,W,1W,1290,5
1,W,1W,1459,
1,C,1C,1309,1
1,C,1C,1449,
1,amb,1amb,1639,
1,amb,1amb,1606,
2,D,2D,1046,9
2,D,2D,127,
2,W,2W,1221,5
2,W,2W,1245,
2,C,2C,1156,8
2,C,2C,1321,
2,amb,2amb,1526,
2,amb,2amb,1525,
3,C,3C,1212,9
3,C,3C,1444,
3,D,3D,1329,1
3,D,3D,1253,
3,W,3W,1277,9
3,W,3W,1140,
3,amb,3amb,1588,
3,amb,3amb,1534,
4,C,4C,1347,4
4,C,4C,1341,
4,D,4D,1333,11
4,D,4D,1261,
4,W,4W,1289,1
4,W,4W,1362,
4,amb,4amb,1489,
4,amb,4amb,1601,
5,D,5D,1363,1
5,D,5D,1317,
5,W,5W,1514,0
5,W,5W,1435,
5,C,5C,1343,8
5,C,5C,1229,
5,amb,5amb,1602,
5,amb,5amb,1641,
6,D,6D,1291,8
6,D,6D,1237,
6,W,6W,1332,8
6,W,6W,1268,
6,C,6C,1297,0
6,C,6C,1326,
6,amb,6amb,1635,
6,amb,6amb,1685,
7,C,7C,1305,9
7,C,7C,1244,
7,D,7D,1214,9
7,D,7D,1121,
7,W,7W,1218,4
7,W,7W,1285,
7,amb,7amb,1583,
7,amb,7amb,1546,
8,D,8D,1191,6
8,D,8D,1104,
8,W,8W,1255,5
8,W,8W,1153,
8,C,8C,1236,1
8,C,8C,1201,
8,amb,8amb,1545,
8,amb,8amb,1521,
9,C,9C,1224,2
9,C,9C,1236,
9,D,9D,972,6
9,D,9D,1006,
9,W,9W,1210,3
9,W,9W,1272,
9,amb,9amb,1527,
9,amb,9amb,1507,
10,D,10D,1224,2
10,D,10D,1100,
10,W,10W,1162,3
10,W,10W,1179,
10,C,10C,1149,5
10,C,10C,1295,
10,amb,10amb,1584,
10,amb,10amb,1491,
