"block","raintreat","comp","brc","smsum"
"1","C","A","1CA",1053.313
"1","C","B","1CB",1162.388
"1","D","A","1DA",945.292
"1","D","B","1DB",950.255
"1","W","A","1WA",1256.132
"1","W","B","1WB",845.58
"2","C","A","2CA",986.673
"2","C","B","2CB",1085.203
"2","D","A","2DA",940.626
"2","D","B","2DB",1009.813
"2","W","A","2WA",1337.987
"2","W","B","2WB",946.732
"4","C","A","4CA",871.005
"4","C","B","4CB",842.025
"4","D","A","4DA",824.955
"4","D","B","4DB",978.684
"4","W","A","4WA",929.356
"4","W","B","4WB",1226.469
"6","C","A","6CA",917.104
"6","C","B","6CB",860.766
"6","D","A","6DA",940.251
"6","D","B","6DB",872.994
"6","W","A","6WA",1087.884
"6","W","B","6WB",1026.556
"8","C","A","8CA",841.493
"8","C","B","8CB",839.079
"8","D","A","8DA",960.078
"8","D","B","8DB",704.422
"8","W","A","8WA",1013.359
"8","W","B","8WB",1045.93
"10","C","A","10CA",571.056
"10","C","B","10CB",859.835
"10","D","A","10DA",997.221
"10","D","B","10DB",1048.592
"10","W","A","10WA",595.841
"10","W","B","10WB",1114.321
