block,raintreat,comp,brc,datetime,temp
1,C,A,1CA,01-13-2025 10:30:21,10.25
1,D,B,1DB,01-13-2025 10:30:21,12.739
1,W,B,1WB,01-13-2025 10:30:21,11.666
2,C,B,2CB,01-13-2025 10:30:21,10.422
2,D,B,2DB,01-13-2025 10:30:21,12.009
2,W,A,2WA,01-13-2025 10:30:21,11.323
4,C,B,4CB,01-13-2025 10:30:21,12.91
4,D,A,4DA,01-13-2025 10:30:21,10.765
4,W,B,4WB,01-13-2025 10:30:21,10.293
6,C,B,6CB,01-13-2025 10:30:21,9.821
6,D,B,6DB,01-13-2025 10:30:21,12.095
6,W,A,6WA,01-13-2025 10:30:21,10.165
8,C,A,8CA,01-13-2025 10:30:21,9.864
8,D,A,8DA,01-13-2025 10:30:21,12.953
8,W,B,8WB,01-13-2025 10:30:21,10.98
10,C,A,10CA,01-13-2025 10:30:21,9.993
10,D,B,10DB,01-13-2025 10:30:21,12.438
10,W,B,10WB,01-13-2025 10:30:21,11.795
11,AMB,,DSWS,01-13-2025 10:30:21,9.35
12,AMB,,USWS,01-13-2025 10:30:21,9.178
1,C,A,1CA,01-13-2025 11:00:22,10.937
1,D,B,1DB,01-13-2025 11:00:22,13.897
1,W,B,1WB,01-13-2025 11:00:22,12.009
2,C,B,2CB,01-13-2025 11:00:22,11.452
2,D,B,2DB,01-13-2025 11:00:22,13.168
2,W,A,2WA,01-13-2025 11:00:22,11.709
4,C,B,4CB,01-13-2025 11:00:22,14.24
4,D,A,4DA,01-13-2025 11:00:22,11.28
4,W,B,4WB,01-13-2025 11:00:22,11.28
6,C,B,6CB,01-13-2025 11:00:22,10.851
6,D,B,6DB,01-13-2025 11:00:22,10.808
6,W,A,6WA,01-13-2025 11:00:22,11.795
8,C,A,8CA,01-13-2025 11:00:22,11.28
8,D,A,8DA,01-13-2025 11:00:22,13.897
8,W,B,8WB,01-13-2025 11:00:22,11.709
10,C,A,10CA,01-13-2025 11:00:22,11.023
10,D,B,10DB,01-13-2025 11:00:22,13.468
10,W,B,10WB,01-13-2025 11:00:22,12.353
11,AMB,,DSWS,01-13-2025 11:00:22,10.937
12,AMB,,USWS,01-13-2025 11:00:22,10.036
1,C,A,1CA,01-13-2025 11:30:23,11.28
1,D,B,1DB,01-13-2025 11:30:23,14.197
1,W,B,1WB,01-13-2025 11:30:23,12.395
2,C,B,2CB,01-13-2025 11:30:23,11.537
2,D,B,2DB,01-13-2025 11:30:23,12.224
2,W,A,2WA,01-13-2025 11:30:23,11.28
4,C,B,4CB,01-13-2025 11:30:23,14.069
4,D,A,4DA,01-13-2025 11:30:23,11.58
4,W,B,4WB,01-13-2025 11:30:23,10.808
6,C,B,6CB,01-13-2025 11:30:23,11.023
6,D,B,6DB,01-13-2025 11:30:23,11.666
6,W,A,6WA,01-13-2025 11:30:23,11.623
8,C,A,8CA,01-13-2025 11:30:23,11.537
8,D,A,8DA,01-13-2025 11:30:23,14.412
8,W,B,8WB,01-13-2025 11:30:23,11.838
10,C,A,10CA,01-13-2025 11:30:23,11.194
10,D,B,10DB,01-13-2025 11:30:23,13.897
10,W,B,10WB,01-13-2025 11:30:23,12.052
11,AMB,,DSWS,01-13-2025 11:30:23,11.838
12,AMB,,USWS,01-13-2025 11:30:23,10.079
1,C,A,1CA,01-13-2025 12:00:24,12.31
1,D,B,1DB,01-13-2025 12:00:24,13.468
1,W,B,1WB,01-13-2025 12:00:24,12.395
2,C,B,2CB,01-13-2025 12:00:24,13.597
2,D,B,2DB,01-13-2025 12:00:24,13.211
2,W,A,2WA,01-13-2025 12:00:24,12.61
4,C,B,4CB,01-13-2025 12:00:24,15.484
4,D,A,4DA,01-13-2025 12:00:24,12.867
4,W,B,4WB,01-13-2025 12:00:24,11.966
6,C,B,6CB,01-13-2025 12:00:24,12.31
6,D,B,6DB,01-13-2025 12:00:24,13.296
6,W,A,6WA,01-13-2025 12:00:24,12.867
8,C,A,8CA,01-13-2025 12:00:24,12.696
8,D,A,8DA,01-13-2025 12:00:24,15.484
8,W,B,8WB,01-13-2025 12:00:24,12.91
10,C,A,10CA,01-13-2025 12:00:24,12.567
10,D,B,10DB,01-13-2025 12:00:24,14.583
10,W,B,10WB,01-13-2025 12:00:24,13.082
11,AMB,,DSWS,01-13-2025 12:00:24,12.824
12,AMB,,USWS,01-13-2025 12:00:24,11.409
1,C,A,1CA,01-13-2025 12:30:25,13.94
1,D,B,1DB,01-13-2025 12:30:25,15.57
1,W,B,1WB,01-13-2025 12:30:25,14.111
2,C,B,2CB,01-13-2025 12:30:25,14.54
2,D,B,2DB,01-13-2025 12:30:25,13.983
2,W,A,2WA,01-13-2025 12:30:25,14.069
4,C,B,4CB,01-13-2025 12:30:25,16.643
4,D,A,4DA,01-13-2025 12:30:25,14.669
4,W,B,4WB,01-13-2025 12:30:25,13.725
6,C,B,6CB,01-13-2025 12:30:25,13.64
6,D,B,6DB,01-13-2025 12:30:25,14.369
6,W,A,6WA,01-13-2025 12:30:25,14.197
8,C,A,8CA,01-13-2025 12:30:25,14.927
8,D,A,8DA,01-13-2025 12:30:25,16.385
8,W,B,8WB,01-13-2025 12:30:25,14.583
10,C,A,10CA,01-13-2025 12:30:25,13.64
10,D,B,10DB,01-13-2025 12:30:25,15.141
10,W,B,10WB,01-13-2025 12:30:25,14.24
11,AMB,,DSWS,01-13-2025 12:30:25,14.583
12,AMB,,USWS,01-13-2025 12:30:25,13.468
1,C,A,1CA,01-13-2025 13:00:26,14.326
1,D,B,1DB,01-13-2025 13:00:26,17.114
1,W,B,1WB,01-13-2025 13:00:26,14.798
2,C,B,2CB,01-13-2025 13:00:26,15.141
2,D,B,2DB,01-13-2025 13:00:26,14.927
2,W,A,2WA,01-13-2025 13:00:26,14.884
4,C,B,4CB,01-13-2025 13:00:26,17.844
4,D,A,4DA,01-13-2025 13:00:26,15.098
4,W,B,4WB,01-13-2025 13:00:26,13.64
6,C,B,6CB,01-13-2025 13:00:26,13.897
6,D,B,6DB,01-13-2025 13:00:26,15.313
6,W,A,6WA,01-13-2025 13:00:26,14.712
8,C,A,8CA,01-13-2025 13:00:26,14.412
8,D,A,8DA,01-13-2025 13:00:26,18.359
8,W,B,8WB,01-13-2025 13:00:26,14.884
10,C,A,10CA,01-13-2025 13:00:26,13.897
10,D,B,10DB,01-13-2025 13:00:26,15.956
10,W,B,10WB,01-13-2025 13:00:26,14.884
11,AMB,,DSWS,01-13-2025 13:00:26,14.884
12,AMB,,USWS,01-13-2025 13:00:26,14.455
1,C,A,1CA,01-13-2025 13:30:27,13.64
1,D,B,1DB,01-13-2025 13:30:27,13.597
1,W,B,1WB,01-13-2025 13:30:27,13.94
2,C,B,2CB,01-13-2025 13:30:27,13.983
2,D,B,2DB,01-13-2025 13:30:27,15.27
2,W,A,2WA,01-13-2025 13:30:27,13.983
4,C,B,4CB,01-13-2025 13:30:27,15.913
4,D,A,4DA,01-13-2025 13:30:27,14.369
4,W,B,4WB,01-13-2025 13:30:27,13.211
6,C,B,6CB,01-13-2025 13:30:27,13.382
6,D,B,6DB,01-13-2025 13:30:27,14.326
6,W,A,6WA,01-13-2025 13:30:27,13.897
8,C,A,8CA,01-13-2025 13:30:27,14.026
8,D,A,8DA,01-13-2025 13:30:27,17.029
8,W,B,8WB,01-13-2025 13:30:27,14.197
10,C,A,10CA,01-13-2025 13:30:27,13.597
10,D,B,10DB,01-13-2025 13:30:27,15.055
10,W,B,10WB,01-13-2025 13:30:27,13.94
11,AMB,,DSWS,01-13-2025 13:30:27,14.326
12,AMB,,USWS,01-13-2025 13:30:27,14.455
1,C,A,1CA,01-13-2025 14:00:28,14.24
1,D,B,1DB,01-13-2025 14:00:28,16.342
