Plot,RainTreat,Comp,PRC,SoilMoisture
1,D,A,1DA,11.3
1,D,B,1DB,5.8
1,W,A,1WA,16
1,W,B,1WB,19.2
1,C,B,1CB,14.5
1,C,A,1CA,16.3
2,D,A,2DA,4.8
2,D,B,2DB,7
2,W,B,2WB,7.3
2,W,A,2WA,8.7
2,C,A,2CA,10
2,C,B,2CB,10.2
3,C,A,3CA,8.1
3,C,B,3CB,7
3,D,A,3DA,3.1
3,D,B,3DB,5.6
3,W,A,3WA,9.9
3,W,B,3WB,8.1
4,C,A,4CA,9.5
4,C,B,4CB,12
4,D,B,4DB,6.6
4,D,A,4DA,6.6
4,W,A,4WA,7.6
4,W,B,4WB,10.5
5,D,B,5DB,4.4
5,D,A,5DA,10.2
5,W,B,5WB,13.4
5,W,A,5WA,10.9
5,C,A,5CA,10.5
5,C,B,5CB,8
6,D,A,6DA,6.6
6,D,B,6DB,7.3
6,W,B,6WB,8.4
6,W,A,6WA,15.6
6,C,A,6CA,12.7
6,C,B,6CB,5.8
7,C,B,7CB,9.5
7,C,A,7CA,8.7
7,D,A,7DA,4.4
7,D,B,7DB,7.6
7,W,A,7WA,12.7
7,W,B,7WB,9.7
8,D,B,8DB,8.7
8,D,A,8DA,7.3
8,W,A,8WA,9.8
8,W,B,8WB,9.5
8,C,B,8CB,6.9
8,C,A,8CA,12.3
9,C,A,9CA,6.9
9,C,B,9CB,3.7
9,D,A,9DA,5.5
9,D,B,9DB,12
9,W,B,9WB,11.6
9,W,A,9WA,10.2
10,D,A,10DA,13.8
10,D,B,10DB,5.5
10,W,A,10WA,10.9
10,W,B,10WB,9.8
10,C,B,10CB,4.4
10,C,A,10CA,4.8
