"block","raintreat","brc","date","daily_avg","dayrain","dsr","rain7day","rain5day","rain_weighted"
"1","C","1CA",2025-01-13,0.166875,0,7,0,0,7
"1","C","1CA",2025-01-14,0.163583333333333,0,8,0,0,8
"1","C","1CA",2025-01-15,0.160166666666667,0,9,0,0,9
"1","C","1CA",2025-01-16,0.158229166666667,0,10,0,0,10
"1","C","1CA",2025-01-17,0.157958333333333,0,11,0,0,11
"1","C","1CA",2025-01-18,0.1578125,0,12,0,0,12
"1","C","1CA",2025-01-19,0.156875,0,13,0,0,13
"1","C","1CA",2025-01-20,0.154708333333333,0,14,0,0,14
"1","C","1CA",2025-01-21,0.150520833333333,0,15,0,0,15
"1","C","1CA",2025-01-22,0.148229166666667,0,16,0,0,16
"1","C","1CA",2025-01-23,0.143916666666667,0,17,0,0,17
"1","C","1CA",2025-01-24,0.1418125,0,18,0,0,18
"1","C","1CA",2025-01-25,0.140583333333333,0,19,0,0,19
"1","C","1CA",2025-01-26,0.137833333333333,0,20,0,0,20
"1","C","1CA",2025-01-27,0.136354166666667,0,21,0,0,21
"1","C","1CA",2025-01-28,0.133625,0,22,0,0,22
"1","C","1CA",2025-01-29,0.131854166666667,0,23,0,0,23
"1","C","1CA",2025-01-30,0.131895833333333,0,24,0,0,24
"1","C","1CA",2025-01-31,0.175354166666667,8.128,0,8.128,8.128,0
"1","C","1CA",2025-02-01,0.268729166666667,26.416,0,34.544,34.544,0
"1","C","1CA",2025-02-02,0.31075,11.176,0,45.72,45.72,0
"1","C","1CA",2025-02-03,0.307666666666667,14.986,0,60.706,60.706,0
"1","C","1CA",2025-02-04,0.339395833333333,56.642,0,117.348,117.348,0
"1","C","1CA",2025-02-05,0.324770833333333,0,1,117.348,109.22,0.00907276356378153
"1","C","1CA",2025-02-06,0.318291666666667,42.164,0,159.512,124.968,0
"1","C","1CA",2025-02-07,0.335104166666667,0,1,151.384,113.792,0.0087114084605199
"1","C","1CA",2025-02-08,0.305479166666667,0,2,124.968,98.806,0.0200388754183115
"1","C","1CA",2025-02-09,0.292291666666667,0,3,113.792,42.164,0.0695023630803447
"1","C","1CA",2025-02-10,0.275729166666667,0,4,98.806,42.164,0.0926698174404596
"1","C","1CA",2025-02-11,0.2635625,0,5,42.164,0,5
"1","C","1CA",2025-02-12,0.2500625,6.604,0,48.768,6.604,0
"1","C","1CA",2025-02-13,0.3204375,49.022,0,55.626,55.626,0
"1","C","1CA",2025-02-14,0.310229166666667,0.508,0,56.134,56.134,0
"1","C","1CA",2025-02-15,0.297479166666667,0,1,56.134,56.134,0.0175027129205027
"1","C","1CA",2025-02-16,0.293916666666667,3.302,0,59.436,59.436,0
"1","C","1CA",2025-02-17,0.288416666666667,0,1,59.436,52.832,0.018576311487591
"1","C","1CA",2025-02-18,0.28025,0,2,59.436,3.81,0.415800415800416
"1","C","1CA",2025-02-19,0.274042553191489,0,3,52.832,3.302,0.697350069735007
"1","C","1CA",2025-02-20,0.261875,0,4,3.81,3.302,0.929800092980009
"1","C","1CA",2025-02-21,0.230875,0,5,3.302,0,5
"1","C","1CA",2025-02-22,0.216041666666667,0,6,3.302,0,6
"1","C","1CA",2025-02-23,0.210916666666667,0,7,0,0,7
"1","C","1CA",2025-02-24,0.205520833333333,0,8,0,0,8
"1","C","1CA",2025-02-25,0.198833333333333,0,9,0,0,9
"1","C","1CA",2025-02-26,0.188020833333333,0,10,0,0,10
"1","C","1CA",2025-02-27,0.179979166666667,0,11,0,0,11
