block,raintreat,comp,brc,densp
1,D,A,1DA,3.5
1,D,B,1DB,46.11111111
1,W,A,1WA,11.6
1,W,B,1WB,32.22222222
1,C,B,1CB,29.3
1,C,A,1CA,4.6
2,D,A,2DA,3.2
2,D,B,2DB,28.77777778
2,W,B,2WB,38.44444444
2,W,A,2WA,6.444444444
2,C,A,2CA,9.555555556
2,C,B,2CB,44.4
3,C,A,3CA,6
3,C,B,3CB,33.3
3,D,A,3DA,5.444444444
3,D,B,3DB,5.25
3,W,A,3WA,3.8
3,W,B,3WB,14.6
4,C,A,4CA,9.444444444
4,C,B,4CB,32.5
4,D,B,4DB,30.75
4,D,A,4DA,7
4,W,A,4WA,7
4,W,B,4WB,39.75
5,D,B,5DB,45.3
5,D,A,5DA,8.166666667
5,W,B,5WB,47.55555556
5,W,A,5WA,10.75
5,C,A,5CA,12.33333333
5,C,B,5CB,32.22222222
6,D,A,6DA,7.5
6,D,B,6DB,31.6
6,W,B,6WB,38.22222222
6,W,A,6WA,9.714285714
6,C,A,6CA,5
6,C,B,6CB,37.1
7,C,B,7CB,41.33333333
7,C,A,7CA,6.25
7,D,A,7DA,3.5
7,D,B,7DB,27.14285714
7,W,A,7WA,8.888888889
7,W,B,7WB,49.66666667
8,D,B,8DB,42.28571429
8,D,A,8DA,5
8,W,A,8WA,13.22222222
8,W,B,8WB,41
8,C,B,8CB,50.5
8,C,A,8CA,16.4
9,C,A,9CA,18
9,C,B,9CB,45.71428571
9,D,A,9DA,9.222222222
9,D,B,9DB,48.55555556
9,W,B,9WB,39.3
9,W,A,9WA,8.222222222
10,D,A,10DA,13
10,D,B,10DB,36.625
10,W,A,10WA,8.222222222
10,W,B,10WB,46.88888889
10,C,B,10CB,21.875
10,C,A,10CA,4.222222222
